n,p,k,temperature,humidity,ph,rainfall,label
90,42,43,2087974371,8200274423,6502985292000000,2029355362,rice
85,58,41,2177046169,8031964408,7038096361,2266555374,rice
60,55,44,2300445915,823207629,7840207144,2639642476,rice
74,35,40,2649109635,8015836264,6980400905,2428640342,rice
78,42,42,2013017482,8160487287,7628472891,2627173405,rice
69,37,42,2305804872,8337011772,7073453503,2510549998,rice
69,55,38,2270883798,8263941394,570080568,2713248604,rice
94,53,40,2027774362,8289408619,5718627177999990,2419741949,rice
89,54,38,2451588066,8353521629999990,6685346424,2304462359,rice
68,58,38,2322397386,8303322691,6336253525,2212091958,rice
91,53,40,2652723513,8141753846,5386167788,2646148697,rice
90,46,42,2397898217,8145061596,750283396,2500832336,rice
78,58,44,2680079604,8088684822,5108681786,2844364567,rice
93,56,36,2401497622,8205687182,698435366,1852773389,rice
94,50,37,2566585205,8066385045,694801983,2095869708,rice
60,48,39,2428209415,8030025587,70422990689999900,2310863347,rice
85,38,41,2158711777,827883708,62490506560000000,27665524589999900,rice
91,35,39,2379391957,8041817957,6970859754,2062611855,rice
77,38,36,218652524,801923008,5953933276,22455501690000000,rice
88,35,40,2357943626,8358760316,585393208,2912986618000000,rice
89,45,36,2132504158,8047476396,6442475375,1854974732,rice
76,40,43,2515745531,8311713476,5070175667,2313843163,rice
67,59,41,2194766735,8097384195,6012632591,2133560921,rice
83,41,43,210525355,8267839517,6254028451,2331075816,rice
98,47,37,2348381344,8133265073,7375482851,2240581164,rice
66,53,41,250756354,8052389148,7778915154,2570038865,rice
97,59,43,2635927159,8404403589,62865001760000000,27135861370000000,rice
97,50,41,2452922681,8054498576,7070959995,2602634026,rice
60,49,44,2077576147,8449774397,6244841491,2400810647,rice
84,51,35,2230157427,8064416466,6043304899,1979791215,rice
73,57,41,2144653958,8494375962,5824709117,2722017204,rice
92,35,40,2217931888,8033127223,63573893660000000,2000882787,rice
85,37,39,2452783742,8273685569,6364134967999990,22467572310000000,rice
98,53,38,2026707606,8163895217,501450727,2704417274,rice
88,54,44,257354293,8388266234,6149410611,2331321372,rice
95,55,42,2679533926,821480873,5950660556,1933473987,rice
99,57,35,2675754171,8117734011,5960370061,27229990560000000,rice
95,39,36,2386330467,8315250801,5561398642,2852493645,rice
60,43,44,2101944696,8295221726,7416245107000000,29840184710000000,rice
63,44,41,2417298839,837287574,5583370042,2570343554,rice
62,42,36,2278133816,8206719137,6430010215,2487183228,rice
64,45,43,2562980105,8352842314,5534878156,2099001977,rice
83,60,36,2559704938,8014509262,6903985986,200834898,rice
82,40,40,2383067496,8481360127,6271478837999990,2985601175,rice
85,52,45,2631355498,8236698992,7224285503,2655355937,rice
91,35,38,248972823,8052586088,613428721,1836793207,rice
76,49,42,24958779,8447963372,5206373153,19695600080000000,rice
74,39,38,2324113501,8459201843,7782051312999990,2330453455,rice
79,43,39,2166628296,8070960551,7062779015,2108142087,rice
88,55,45,2463544858,8041363018,7730367824,2537202781,rice
60,36,43,2343121862,8306310136,5286203711000000,2199048349,rice
76,60,39,200454142,803477562,6766240045,2085810155,rice
93,56,42,2385724032,8222572988,7382762603,1950948311,rice
65,60,43,2197199397,8189918197,5658169482000000,2273637009,rice
95,52,36,2622916897,8383625819,5543360237999990,2865083725,rice
75,38,39,2344676801,8479352417,6215109715,2839338466,rice
74,54,38,2565553461,8347021081,7120272972,2173788583,rice
91,36,45,2444345477,8245432595,5950647577000000,26797619480000000,rice
71,46,40,202801937,821235421,7236705436,1919535738,rice
99,55,35,217238313,802389895,6501697816,2779626192,rice
72,40,38,2041447029,8220802629,7592490617,2451511304,rice
83,58,45,2575528612,8351827127,5875345751,2456626799,rice
93,58,38,2061521424,8377345559,6932400225,2795451717,rice
70,36,42,2184106875,8072886384,69462098810000000,2023838319,rice
76,47,42,2008369642,8329114712,5739175027000000,2636372176,rice
99,41,36,2445802087,8274835604,6738652179,1825616319,rice
99,54,37,2114347496,8033502926,55948196260000000,1986730942,rice
86,59,35,2578720567,8211124033,6946636369,2435120414,rice
69,46,41,2364124821,8028597873,5012139669,2631103304,rice
91,56,37,2343191632,8056887849,6363472207999990,2695039162,rice
61,52,41,2497669518,83891805,6880431223,2048001847,rice
67,45,38,2272791041,8217068809999990,7300410836,2608875056,rice
79,42,37,2487300744,8284022551,6587918707999990,2956094492000000,rice
78,43,42,2132376327,8300320459,7283736617000000,1923197536,rice
75,54,36,2629465461,8456919326,7023936392,2574914906,rice
97,36,45,222286982,8185872947,6939083505,2780791793,rice
67,47,44,2673072391,8178596776,7868474653,2804044392,rice
73,35,38,2488921174,8197927117,5005306977,1859461429,rice
77,36,37,2688444878,8146033732,6136131869,1945766559,rice
81,41,38,2267846116,8372874389,75240800760000000,2009133156,rice
68,57,43,2608867875,8037979919,5706943251,1829043504,rice
72,45,35,2542977518,8294682591,5758506323,1953574542,rice
61,53,43,2640323239,8105635517,6349606327,2233671883,rice
67,43,39,2604371967,8496907151,59999690260000000,1867536773,rice
67,58,39,252827223,8054372813,5453592032,2201156708,rice
66,60,38,2208576562,8347038318,6372576327000000,2317364957,rice
82,43,38,2328617173,8143321641,5105588355,2423170629,rice
84,50,44,2548591986,8140633547,59353444060000000,1826549356,rice
81,53,42,2367575393,8103569343,517782304,2337034975,rice
91,50,40,2082477109,841341879,6462391607000000,23022422230000000,rice
93,53,38,2692995077,8191411159,7069172227,29067937830000000,rice
90,44,38,2383509503,8388387074,7473134377,24120135130000000,rice
81,45,35,2652872817,8012267476,6158376967000000,2189163567,rice
78,40,38,2646428311,8385642678,7549873681,2482256491,rice
60,51,36,2269657794,8281088865,6028321557999990,2569964761,rice
