Temperature;Humidity;Moisture;Nitrogen;Potassium;Phosphorous;Soil Type_Clayey;Soil Type_Loamy;Soil Type_Red;Soil Type_Sandy;Crop Type_Cotton;Crop Type_Ground Nuts;Crop Type_Maize;Crop Type_Millets;Crop Type_Oil seeds;Crop Type_Paddy;Crop Type_Pulses;Crop Type_Sugarcane;Crop Type_Tobacco;Crop Type_Wheat;Fertilizer Name_14-35-14;Fertilizer Name_17-17-17;Fertilizer Name_20-20;Fertilizer Name_28-28;Fertilizer Name_DAP;Fertilizer Name_Urea;Crop_Type
26.0;52.0;38.0;37;0.0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;Maize
29.0;52.0;45.0;12;0.0;36;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;Sugarcane
34.0;65.0;62.0;7;9.0;30;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Cotton
32.0;62.0;34.0;22;0.0;20;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;Tobacco
28.0;54.0;46.0;35;0.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;Paddy
26.0;52.0;35.0;12;10.0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Cotton
25.0;50.0;64.0;9;0.0;10;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Cotton
33.0;64.0;50.0;41;0.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Wheat
30.0;60.0;42.0;21;0.0;18;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;Millets
29.0;58.0;33.0;9;7.0;30;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;Oil seeds
27.0;54.0;28.0;13;0.0;40;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Pulses
31.0;62.0;48.0;14;15.0;12;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;Maize
25.0;50.0;65.0;36;0.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Cotton
32.0;62.0;41.0;24;0.0;22;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;Paddy
26.0;52.0;31.0;14;0.0;41;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Ground Nuts
31.0;62.0;49.0;10;13.0;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
33.0;64.0;34.0;38;0.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;Pulses
25.0;50.0;39.0;21;0.0;19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Cotton
28.0;54.0;65.0;39;0.0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Cotton
29.0;58.0;52.0;13;0.0;36;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;Wheat
30.0;60.0;44.0;10;0.0;9;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;Millets
34.0;65.0;53.0;12;14.0;12;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
35.0;68.0;33.0;11;0.0;37;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;Tobacco
28.0;54.0;37.0;36;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;Millets
33.0;64.0;39.0;13;0.0;10;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Paddy
26.0;52.0;44.0;23;0.0;20;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;Maize
30.0;60.0;63.0;9;9.0;29;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Cotton
32.0;62.0;30.0;38;0.0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Sugarcane
37.0;70.0;32.0;12;0.0;39;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;Oil seeds
26.0;52.0;36.0;14;0.0;13;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;Pulses
29.0;58.0;40.0;24;0.0;23;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Ground Nuts
30.0;60.0;27.0;12;0.0;40;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;Sugarcane
