longitude,latitude,city,wrb4_code,physical_available_water_capacity,basic_organic_carbon,basic_c/n_ratio,texture_clay,texture_sand,texture_coarse_fragments,physical_reference_bulk_density,chemical_cation_exchange_capacity,chemical_clay_cec,chemical_total_exchangeable_bases,chemical_base_saturation,chemical_exchangeable_sodium_percentage,chemical_aluminum_saturation,salinity_electrical_conductivity,salinity_total_carbon_equivalent,salinity_gypsum_content,Ortalama En Yüksek Sıcaklık (°C)_Eylül,Ortalama En Yüksek Sıcaklık (°C)_Aralık,Ortalama En Düşük Sıcaklık (°C)_Ağustos,Ortalama Güneşlenme Süresi (saat)_Ağustos,Ortalama Güneşlenme Süresi (saat)_Aralık,Ortalama Yağışlı Gün Sayısı_Şubat,Ortalama Yağışlı Gün Sayısı_Mart,Ortalama Yağışlı Gün Sayısı_Nisan,Ortalama Yağışlı Gün Sayısı_Ağustos,Ortalama Yağışlı Gün Sayısı_Kasım,Ortalama Yağışlı Gün Sayısı_Yıllık,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Nisan,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Mayıs,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Haziran,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Ağustos,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Eylül,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Ekim,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Aralık,Aylık Toplam Yağış Miktarı Ortalaması (mm)_Yıllık
26.0,39.8,Çanakkale,TC,0,1.93,11.5,25.0,33.0,5.0,1.78,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.2,39.6,Çanakkale,TC,0,1.93,11.25,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.2,39.8,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.2,40.0,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.2,40.6,Edirne,AN,41,6.96,12.0,19.0,40.0,13.0,1.69,34.0,67.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.2,40.8,Edirne,AN,41,6.96,12.0,19.0,40.0,13.0,1.69,34.0,67.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.4,38.6,İzmir,CMcr,165,1.93,12.0,36.0,33.0,5.0,1.9,20.0,34.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6,29.5,14.0,23.7,11.6,4.2,12.0,10.23,9.0,0.83,9.07,87.2,50.1,32.9,14.4,6.7,23.5,56.5,131.3,730.5
26.4,39.6,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.4,39.8,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.4,40.0,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.4,40.2,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.4,40.4,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.4,40.6,Edirne,AN,41,6.96,12.0,19.0,40.0,13.0,1.69,34.0,67.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.4,40.8,Edirne,AN,41,6.96,12.0,19.0,40.0,13.0,1.69,34.0,67.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.4,41.0,Edirne,AN,41,6.96,12.0,19.0,40.0,13.0,1.69,34.0,67.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.4,41.2,Edirne,AN,41,6.96,12.0,19.0,40.0,13.0,1.69,34.0,67.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.4,41.8,Edirne,LVvr,194,1.43,10.0,39.0,29.0,5.0,1.93,25.0,55.0,21.0,93.0,1.0,0.0,1.0,0.0,0.1,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.6,38.2,İzmir,CMcr,165,1.93,12.0,36.0,33.0,5.0,1.9,20.0,34.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6,29.5,14.0,23.7,11.6,4.2,12.0,10.23,9.0,0.83,9.07,87.2,50.1,32.9,14.4,6.7,23.5,56.5,131.3,730.5
26.6,38.4,İzmir,CMcr,165,1.93,12.0,36.0,33.0,5.0,1.9,20.0,34.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6,29.5,14.0,23.7,11.6,4.2,12.0,10.23,9.0,0.83,9.07,87.2,50.1,32.9,14.4,6.7,23.5,56.5,131.3,730.5
26.6,39.6,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.6,39.8,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.6,40.0,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.6,40.2,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.6,40.4,Çanakkale,TC,0,1.93,11.0,22.0,39.0,5.0,1.74,17.328,49.775,25.549,84.274,2.042,0.296,0.911,7.429,0.752,26.7,11.5,21.2,10.4,2.8,10.7,10.47,8.83,1.2,8.77,87.1,49.0,32.1,27.3,6.8,24.2,67.5,100.4,620.3
26.6,40.8,Edirne,CMcr,165,1.93,12.0,36.0,33.0,5.0,1.9,20.0,34.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
26.6,41.0,Edirne,CMcr,165,1.93,12.0,36.0,33.0,5.0,1.9,20.0,34.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6,27.9,8.4,18.3,9.0,1.9,9.57,11.57,11.23,4.57,10.0,112.3,44.0,57.5,46.0,24.0,39.2,66.1,70.5,625.2
