longitude,latitude,city,soil_id,wrb4_code,wrb2_code,wrb2_description,fao90_code,physical_root_depth,physical_available_water_capacity,basic_ph,basic_organic_carbon,basic_total_nitrogen,basic_c/n_ratio,texture_clay,texture_silt,texture_sand,texture_coarse_fragments,physical_bulk_density,physical_reference_bulk_density,chemical_cation_exchange_capacity,chemical_clay_cec,chemical_effective_cec,chemical_total_exchangeable_bases,chemical_base_saturation,chemical_exchangeable_sodium_percentage,chemical_aluminum_saturation,salinity_electrical_conductivity,salinity_total_carbon_equivalent,salinity_gypsum_content
26.0,39.8,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.099999904632568,1.9299999475479128,1.3200000524520874,11.5,25.0,35.0,33.0,5.0,1.350000023841858,1.7799999713897705,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
26.2,39.6,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.099999904632568,1.9299999475479128,1.3200000524520874,11.25,22.0,35.0,39.0,5.0,1.350000023841858,1.7400000095367432,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
26.2,39.8,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.099999904632568,1.9299999475479128,1.3200000524520874,11.0,22.0,35.0,39.0,5.0,1.350000023841858,1.7400000095367432,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
26.2,40.0,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.099999904632568,1.9299999475479128,1.3200000524520874,11.0,22.0,35.0,39.0,5.0,1.350000023841858,1.7400000095367432,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
26.2,40.6,Edirne,9325,AN,AN,Andosols - Soils with allophanes and/or Al-humus complexes,ANh,3,41,5.900000095367432,6.960000038146973,3.309999942779541,12.0,19.0,41.0,40.0,13.0,0.8600000143051147,1.690000057220459,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.2,40.8,Edirne,9325,AN,AN,Andosols - Soils with allophanes and/or Al-humus complexes,ANh,3,41,5.900000095367432,6.960000038146973,3.309999942779541,12.0,19.0,41.0,40.0,13.0,0.8600000143051147,1.690000057220459,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.4,38.6,İzmir,43392,CMcr,CM,Cambisols - Moderately developed soils,CMx,1,165,6.099999904632568,1.9299999475479128,1.3200000524520874,12.0,36.0,31.0,33.0,5.0,1.350000023841858,1.899999976158142,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.600000023841858
26.4,39.6,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.099999904632568,1.9299999475479128,1.3200000524520874,11.0,22.0,35.0,39.0,5.0,1.350000023841858,1.7400000095367432,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
26.4,39.8,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.099999904632568,1.9299999475479128,1.3200000524520874,11.0,22.0,35.0,39.0,5.0,1.350000023841858,1.7400000095367432,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
26.4,40.0,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.25,1.9299999475479128,1.3200000524520874,11.0,22.0,35.0,39.0,5.0,1.350000023841858,1.7400000095367432,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
26.4,40.2,Çanakkale,40462,TC,TC,Technosols - Soils with strong human influence (containing significant amounts of artefacts),UR,1,0,6.400000095367432,1.9299999475479128,1.3200000524520874,11.0,22.0,35.0,39.0,5.0,1.350000023841858,1.7400000095367432,17.327900912646676,49.77509778357236,27.15645371577575,25.548891786179922,84.27444589308996,2.042372881355932,0.29595827900912647,0.9106910039113429,7.429204685902502,0.7515645304056081
